=======================================================
INÍCIO DO POC DE EXTRAÇÃO: https://www.supercentralonline.com.br/
ATENÇÃO: Extraindo APENAS produtos com PREÇO.
ARQUIVO DE LOG DE DETALHES: Extracao\Extracao_20251027_134108.txt
=======================================================
Iniciando navegação...
🔄 Tentando tratar o modal de seleção de loja/cidade...
⚠️ Modal de seleção de loja não encontrado ou não apareceu. Prosseguindo.
🔄 Tentando expandir o menu de departamentos...
✅ Menu de departamentos expandido.
✅ Encontrados 14 caminhos de departamento únicos.


=======================================================
>>> INICIANDO DEPTO: BEBIDAS | Link: departamentos/bebidas <<<
 ✅ Energético Tnt En Juice Mango Lata 269ml                                         | R$ 5.99
 ✅ Energético Crazy Cat Melancia Pet 2 L                                            | R$ 11.69

   [NAVEGACAO] Acessando Página: 4 | URL: https://www.supercentralonline.com.br/departamentos/bebidas?page=4
   [EXTRACAO] Encontrados 40 elementos de produto na página.
 ✅ Bebida Mista 51 Ice Fruit Mix 275ml                                              | R$ 5.99
 ✅ Bebida Mista Maguary Fruit Shoot Uva 100% Tp 150ml                               | R$ 2.87
 ✅ Bebida Mista Stempel Garrafa Pineaplle 600ml                                     | R$ 9.98
 ✅ Bebida Mista Askov Remix Limão 275ml                                             | R$ 6.89
 ✅ Coquetel Dulce De Avelã 500ml                                                    | R$ 69.90
 ✅ Coquetel Dulce Coffee 500ml                                                      | R$ 69.90
 ✅ Coquetel Dulce Doce De Leite 500ml                                               | R$ 69.90
 ✅ Coquetel Dulce Banoffe 500ml                                                     | R$ 69.90
 ✅ Aperitivo Negroni 1953 1 L                                                       | R$ 89.90
 ✅ Bebida Mista Contini Vibe Açaí 750ml                                             | R$ 25.90
 ✅ Bebida Mista Contini Vibe Limão 750ml                                            | R$ 25.90
 ✅ Bebida Mista Contini Vibe Frutas Vermelhas 750ml                                 | R$ 25.90
 ✅ Bebida Mista Beats Red Mix Long Neck 269ml                                       | R$ 7.99
 ✅ Bebida Mista Absolut Vodka Sprite Lata 269ml                                     | R$ 5.89
 ✅ Rum Bacardi Carta Branca 700ml                                                   | R$ 48.99
 ✅ Rum Bacardi Big Apple 700ml                                                      | R$ 44.89
 ✅ Bebida Mista Stempel Garrafa Red 600ml                                           | R$ 9.98
 ✅ Energético Red Bull Tropical Lata 250ml                                          | R$ 9.98
 ✅ Energético Tnt Focus Zero Açúcar Lata 473ml                                      | R$ 7.99
 ✅ Bebida Mista Smirnoff Ice Original Lata 269ml                                    | R$ 7.19
 ✅ Energético Tnt Original Lata 269ml                                               | R$ 5.99
 ✅ Bebida Mista Skol Beats Senses Lata 269ml                                        | R$ 6.49
 ✅ Bebida Mista Contini Ice Limão 275ml                                             | R$ 6.99
 ✅ Bebida Mista Skol Beats Gt Lata 269ml                                            | R$ 6.49
 ✅ Bebida Mista Cabaré Ice Frutas Vermelhas 275ml                                   | R$ 8.49
 ✅ Bebida Mista 51 Ice Balada 275ml                                                 | R$ 5.99
 ✅ Bebida Mista 51 Ice Limão 275ml                                                  | R$ 5.99
 ✅ Bebida Mista 51 Ice Maracujá 275ml                                               | R$ 5.99
 ✅ Energético Tnt Zero Açúcar Lata 269ml                                            | R$ 5.99
 ✅ Energético Tnt Maçã Vede Lata 269ml                                              | R$ 5.99
 ✅ Energético Tnt Açaí Com Guaraná Lata 269ml                                       | R$ 5.99
 ✅ Energético Tnt Tangerina Lata 269ml                                              | R$ 5.99
 ✅ Bebida Mista Stempel Garrafa White 600ml                                         | R$ 9.98
 ✅ Energético Tnt Focus Original 473ml                                              | R$ 7.99
 ✅ Bebida Mista 58 Bier Vinho Lata 710ml                                            | R$ 13.49
 ✅ Bebida Mista Askov Remix Com Vinho 275ml                                         | R$ 7.99
 ✅ Bebida Mista Skol Beats Senses Long Neck 269ml                                   | R$ 7.99
 ✅ Bebida Mista Cabaré Ice Frutas Amarelas 275ml                                    | R$ 8.49
 ✅ Bebida Mista Smirnoff Ice Original 275ml                                         | R$ 8.69
 ✅ Bebida Mista Skol Beats Gt Long Neck 269ml                                       | R$ 7.99

   [NAVEGACAO] Acessando Página: 5 | URL: https://www.supercentralonline.com.br/departamentos/bebidas?page=5
   [EXTRACAO] Encontrados 40 elementos de produto na página.
