=======================================================
INÍCIO DO POC DE EXTRAÇÃO: https://www.supercentralonline.com.br/
ATENÇÃO: Extraindo APENAS produtos com PREÇO.
ARQUIVO DE LOG DE DETALHES: Extracao\Extracao_20251027_141715.txt
=======================================================
Iniciando navegação...
🔄 Tentando tratar o modal de seleção de loja/cidade...
⚠️ Modal de seleção de loja não encontrado ou não apareceu. Prosseguindo.
🔄 Tentando expandir o menu de departamentos...
✅ Menu de departamentos expandido.
✅ Encontrados 14 caminhos de departamento únicos.


=======================================================
>>> INICIANDO DEPTO: BEBIDAS | Link: departamentos/bebidas <<<
 ✅ Pote Plástico Redondo 250ml Plasútil Clic                                        | R$ 4.49
 ✅ Pote Decorado Plasútil Quadrado 580ml                                            | R$ 9.98
 ✅ Mini Shakeira Minnie 320ml Plasútil                                              | R$ 16.78
 ✅ Copo Cylinder Nadir 300ml Un                                                     | R$ 12.45
 ✅ Caneca Homem-aranha 360ml Plasútil                                               | R$ 9.98
 ✅ Jogo De Copos Nadir Maracatu Com 6 Unidades                                      | R$ 19.98
 ✅ Conjunto Sanremo Bule 700ml + Pote 480ml Amarelo                                 | R$ 75.90
 ✅ Taça Champagne Nadir Gallant 180ml                                               | R$ 11.98

   [NAVEGACAO] Acessando Página: 17 | URL: https://www.supercentralonline.com.br/departamentos/bazar-e-utilidades?page=17
   [EXTRACAO] Encontrados 40 elementos de produto na página.
 ✅ Pote Decorado Plasútil Com Tampa De Rosca 1,4l                                   | R$ 17.45
 ✅ Garrafa Unicórnio 500ml Plasútil Retrô                                           | R$ 14.58
 ✅ Caneca Porcelana Dalas 280ml                                                     | R$ 22.98
 ✅ Pote Plasúltil Click 1,25l                                                       | R$ 8.99
 ✅ Pote Plástico Retangular Melancia 430ml Plasútil Decora                          | R$ 6.59
 ✅ Jarra 1,9l Plasútil                                                              | R$ 28.75
 ✅ Canecão Luz Nobre Uf Luxo N°12 1,5 Litros                                        | R$ 29.90
 ✅ Pote Plástico Retangular Camomila 1,43l Plasútil Decora                          | R$ 14.98
 ✅ Jogo De De Copo Nadir Zumba 6un                                                  | R$ 22.98
 ✅ Copo Nadir Brisa Long Drink 300ml Un                                             | R$ 9.98
 ✅ Taça De Vinho Nadir 385ml Barone                                                 | R$ 19.68
 ✅ Jogo Copo Nadir Oca 300ml C/6un                                                  | R$ 34.90
 ✅ Jogo De Copos Nadir Laguna 280ml Com 6 Unid.                                     | R$ 19.98
 ✅ Jarra Plasutil 1l Graduada C/espremedor                                          | R$ 15.99
 ✅ Copo Nadir Agua Liso Ligth´s 260ml                                               | R$ 8.99
 ✅ Caneca Esmaltada Catuai 150ml                                                    | R$ 9.25
 ✅ Pote Click Plasútil Redondo 1,4l                                                 | R$ 10.98
 ✅ Pote Plástico Quadrado Camomila 500ml Plasútil Decora                            | R$ 7.99
 ✅ Pote Plasútil Redondo Decorado 650ml                                             | R$ 9.95
 ✅ Copo Para Shake Com Canudo Avengers Capitão América 500ml Plasútil               | R$ 16.35
 ✅ Copo Nadir Figueiredo Para Pinga 100ml Un                                        | R$ 7.99
 ✅ Jogo De Copos Nadir Ginga 280ml Com 6 Unidades                                   | R$ 19.98
 ✅ Caneca Cerâmica Decora Coruja 280ml                                              | R$ 18.89
 ✅ Copo Bar Long Drink Nadir Figueiredo 390ml                                       | R$ 10.65
 ✅ Pote Plástico Redondo Melancia 2l Plasútil Decora                                | R$ 22.98
 ✅ Caneca Minnie 360ml Plasútil                                                     | R$ 9.98
 ✅ Garrafa Plasútil Minnie 500ml Retrô                                              | R$ 17.99
 ✅ Copo Nadir Paulista 250ml                                                        | R$ 9.39
 ✅ Caneca Uz Cappuccino Plus Vermelho 400ml                                         | R$ 7.99
 ✅ Pote Plasútil Decora Com 2 Divisórias 1,1l                                       | R$ 19.45
 ✅ Pote Plástico Vermelho Quadrado 570ml Plasútil Clic E Trave                      | R$ 8.99
 ✅ Sanduicheira Plasutil Minnie                                                     | R$ 12.99
 ✅ Garrafa Plasútil Com Tampa Azul 1l New York                                      | R$ 17.99
 ✅ Jogo De Copos Nadir Batuque Com 6 Unidades                                       | R$ 19.98
 ✅ Taca Nadir Cerveja Paulista 300ml                                                | R$ 10.38
 ✅ Pote Plasútil Quadrado Decorado 580ml                                            | R$ 9.98
 ✅ Copo Americano Nadir 300ml Duplo 2710                                            | R$ 5.69
 ✅ Tigela Marinex Facilita Vap Com Tampa 1l                                         | R$ 32.69
 ✅ Canecão Luz Nobre Uf Luxo N°14                                                   | R$ 34.90
 ✅ Pote Plástico Branco Quadrado Alto Plasútil Trio 600ml                           | R$ 8.38

   [NAVEGACAO] Acessando Página: 18 | URL: https://www.supercentralonline.com.br/departamentos/bazar-e-utilidades?page=18
   [EXTRACAO] Encontrados 40 elementos de produto na página.
 ✅ Caneca Mickey Mouse 360ml Plasútil                                               | R$ 9.98
 ✅ Pote Clic Plasútil Retangular 1,43l                                              | R$ 15.89
 ✅ Coqueteleira Plasutil 740ml R.2463                                               | R$ 14.99
 ✅ Garrafa Plasútil Homem-aranha 500ml Retrô                                        | R$ 17.99
 ✅ Pote Plástico Redondo Camomila 1,4l Plasútil Decora                              | R$ 10.98
 ✅ Pote Plástico Com Tampa Verde Retangular 910ml Plasútil Trava Mais               | R$ 18.99
 ✅ Caneca Nadir Diamante Aspen 300ml                                                | R$ 12.45
 ✅ Pote Plástico Quadrado Melancia Plasútil Decora 500ml                            | R$ 7.99
 ✅ Assadeira Com Tampa Plástica Marinex Retangular 2,2l                             | R$ 82.90
 ✅ Copo Nadir Bar Grande 340ml                                                      | R$ 8.99
 ✅ Jarra Com Tampa Articulada 2l Plasútil                                           | R$ 28.48
 ✅ Caneca Carrinhos 330ml Plasútil Trio                                             | R$ 9.98
 ✅ Jarra Plasutil Grande 3,7lts                                                     | R$ 31.98
 ✅ Garrafa Plasútil Com Tampa Rosa 1,8l New York                                    | R$ 22.45
 ✅ Taça Nadir 490ml Barone Água                                                     | R$ 20.85
 ✅ Pote Para Gelatina Vermelho 140ml Plasútil 3 Unidades                            | R$ 11.75
 ✅ Taca Paul.nadir Ref-7402 Un                                                      | R$ 8.99
 ✅ Pote Plástico Com Tampa Redondo Camomila 1,4l Plasútil Decora                    | R$ 10.98
 ✅ Pote Plástico Quadrado Camomila 1,2llplasútil Decora                             | R$ 11.58
 ✅ Açucareiro/ Farinheiro Plasútil 700ml                                            | R$ 9.59
 ✅ Pote Plasutil Decora Redondo 680ml Vaquinha                                      | R$ 7.38
 ✅ Prato Plástico Valves Branco 15cm Com 10un                                       | R$ 2.69
 ✅ Pote Clic Plasútil Com 3 Divisórias                                              | R$ 15.99
 ✅ Taça De Champanhe Nadir 190ml Barone                                             | R$ 18.78
 ✅ Tigela Marinex Plus 3l                                                           | R$ 54.90
 ✅ Copo Tulipa Munich Nadir Para Cerveja 200ml                                      | R$ 9.98
 ✅ Shakeira 580ml Plasútil Decora                                                   | R$ 17.98
 ✅ Pote Plástico Com Tampa Rosa Quartzo Retangular 630ml Plasútil Trava Mais        | R$ 13.55
 ✅ Pote Clic Plasútil Com 2 Divisórias                                              | R$ 15.48
   ❌ FILTRADO: Preço NULL. Descrição: Tabua Passar Aninha                                                             
   ❌ FILTRADO: Preço NULL. Descrição: Tapete De Porta Digital Base Firme Bene Casaxcm                                 
   ❌ FILTRADO: Preço NULL. Descrição: Esfregão Limppano Médias Superfícies                                            
   ❌ FILTRADO: Preço NULL. Descrição: Panos Scott Duramax Multiuso - 5 Panos                                          
   ❌ FILTRADO: Preço NULL. Descrição: Pano De Copa Sarja Palavras Do Bemx                                             
   ❌ FILTRADO: Preço NULL. Descrição: Tapete Cotone Oval Panosul 40x60cm Ref.11945 Un                                 
   ❌ FILTRADO: Preço NULL. Descrição: Pano Esponja Limppano C/2unids                                                  
   ❌ FILTRADO: Preço NULL. Descrição: Toalha Mesa Mesquita Sortido 135x245cm                                          
   ❌ FILTRADO: Preço NULL. Descrição: Esfregão Limppano Grandes Superfícies                                           
   ❌ FILTRADO: Preço NULL. Descrição: Meia Selene Sapatilha Invisivel Sport Feminina Comid                            
   ❌ FILTRADO: Preço NULL. Descrição: Meia Selene Sapatilha Feminino Pilates                                          

   [NAVEGACAO] Acessando Página: 19 | URL: https://www.supercentralonline.com.br/departamentos/bazar-e-utilidades?page=19
   [EXTRACAO] Encontrados 40 elementos de produto na página.
   ❌ FILTRADO: Preço NULL. Descrição: Cola Super Bonder Loctite 3g Leve 2 Pague 1                                     
   ❌ FILTRADO: Preço NULL. Descrição: Filtro Lorenzetti Acqua Bella C/torneira                                        
